query,mode,rater,relevance,accuracy,completeness,usefulness,json_valid
Apa saja webinar UIB bulan Oktober 2025?,baseline,Delvin,1,1,4,3,1
Apa saja webinar UIB bulan Oktober 2025?,baseline,Calvin,3,1,4,3,1
Apa saja webinar UIB bulan Oktober 2025?,engineered,Delvin,4,1,4,3,1
Apa saja webinar UIB bulan Oktober 2025?,engineered,Calvin,5,1,5,3,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,Delvin,2,1,3,4,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,Calvin,3,0,3,4,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,Delvin,5,0,4,5,1
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,Calvin,4,1,5,4,1
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,Delvin,4,1,2,4,1
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,Calvin,4,1,4,3,1
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,Delvin,5,1,4,5,0
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,Calvin,3,1,4,4,1
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Delvin,4,1,3,3,1
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Calvin,3,0,3,3,1
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Delvin,5,1,3,4,1
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Calvin,3,1,5,3,0
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,baseline,Delvin,4,1,3,3,1
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,baseline,Calvin,3,0,3,4,0
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,engineered,Delvin,4,1,4,4,0
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,engineered,Calvin,3,1,4,4,1
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,Delvin,4,0,2,3,1
